id	filename	md5	size	state
465c44ea-fe8c-405e-8e21-c593b009d374	TCGA-AR-A1AN-01Z-00-DX1.1118F9FE-6DF2-4496-B102-D3A10D332EC0.svs	6caba0deae5714c06cff28b46d54a013	409192837	released
e4743080-e74f-4214-bb26-a5ff5a03b032	TCGA-C8-A26V-01Z-00-DX1.6E86DF74-D575-4969-8142-963D9DF5208F.svs	38965d5f44bb7a4d62f1d99daef6e4a9	829484135	released
f935cbf5-2afc-4baa-8bf8-c77c0c7d76ed	TCGA-A2-A04Y-01Z-00-DX1.4DC97AD6-4806-4A3A-A998-FD36F93590A4.svs	ab9247aa60430c29eecd9070a7ca2158	534447883	released
7dd13c9e-e6c9-409e-91b2-6e83ee12246b	TCGA-B6-A0IG-01Z-00-DX1.4238CB6E-0561-49FD-9C49-9B8AEAFC4618.svs	ce8adbee8c345257b8ccd2c6557c374b	1695050779	released
bbd0ea25-16f0-4074-9d97-17bddd44622f	TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589.svs	4fe8243fe8a908dccf5fd240eae72894	1120156943	released
9af833c0-30df-4772-91b2-31e4e312f058	TCGA-A2-A0CQ-01Z-00-DX1.4E5FB4E5-A08C-4C87-A3BE-0640A95AE649.svs	89ad1f5e7134d978173f2ed7447b129d	592125143	released
51821122-a967-4436-a836-d9f44af16d0a	TCGA-A8-A07E-01Z-00-DX1.AC684481-979A-46F9-91D7-C56CE85992F2.svs	1a01e3f942b67e059af1b407576500bc	1128758726	released
1db59757-4a6d-4ea2-b696-ee0218258e27	TCGA-A2-A0YH-01Z-00-DX1.FBA5E711-8275-45B3-BC20-5A786EE23548.svs	d41ffb9dbeeb1ca729af91cc574c4527	505755659	released
a3e9a779-c21a-464b-8423-576dedc41aa1	TCGA-C8-A1HM-01Z-00-DX1.F93C3F56-3AA6-4D38-B51E-4694CBEA3830.svs	6cb9ca0e767657e07520fd3f81d8a8b2	591939703	released
9a815ce9-cc04-459d-99a9-1d7c05a15df1	TCGA-A2-A1FZ-01Z-00-DX1.0BAAEF41-DCA4-4677-9A27-09E990033FA6.svs	add0cc67636254f50ba206b2d9393749	967290851	released
ac9bbb33-2762-4c51-9271-5608dca9cef3	TCGA-A2-A3Y0-01Z-00-DX1.A1EDDF82-FFAA-44A4-A749-7FB6F8133CC0.svs	611cb63cbe148c151181ae7359b33492	1192819327	released
d661da33-ef97-4e13-a954-4e0eb6a16573	TCGA-C8-A132-01Z-00-DX1.6CCE1FE0-BB4B-4046-BAF0-43AA110B2EBE.svs	c5ba3e1e0daca50c456f1019ddc1eaca	571873017	released
41283902-1b1a-44d7-bc0c-a45b2ccd071c	TCGA-B6-A0RH-01Z-00-DX1.33DB5CF9-AC87-435B-A8AF-C4F84BEF15F1.svs	634bfc0a9a5ed8242bbf78e768c80af0	1586038287	released
86844d85-1797-4829-b2d7-f04ce84d0173	TCGA-A2-A0CU-01Z-00-DX1.5B77D21C-A497-478B-9752-3730322AD9ED.svs	6cdc0087a4c64c13f12d6eb9df6d0aa1	1833345887	released
7d0b8ace-0a94-444a-b48e-6cdb4a7665ca	TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78.svs	778f18cf9898f6937087d2c52ca7fe2b	837948396	released
5acee561-9fab-46d5-b0ff-8be3af8ebd75	TCGA-BH-A0DQ-01Z-00-DX1.5A98747C-52D9-45AD-BC84-934A96F069EB.svs	10955c8dd86f0f8d95629a8733b1b4b1	1863343035	released
416e4645-4ef2-4228-8e93-703d138834e4	TCGA-A2-A0SV-01Z-00-DX1.F5645E47-3540-4753-AF5D-F5709BD8DFC1.svs	0af6063ab09eecbd76ecc6896e5a8f88	1495994795	released
c1e30ea2-c72f-4935-9dff-756f9795fa45	TCGA-A2-A04X-01Z-00-DX1.E01A4522-67B3-4FEF-BD6B-99DFED9E7C85.svs	19f39635553ae5ff09f5287827dd8a1a	1106696237	released
f0fa7d7b-e639-4acb-b2f4-b5009d1e3035	TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8.svs	7633f2980fa2ff9f50db1f88d629a024	710031949	released
b9406762-f609-464e-a518-40277ce6bd7f	TCGA-BH-A0B0-01Z-00-DX1.316D35DB-7F13-4AE5-82A7-5716D2519669.svs	349aa347c99f88ba953cfe47371f5c02	886438283	released
fa83738a-c9f2-433e-9050-54d0e90e3092	TCGA-AR-A0TR-01Z-00-DX1.BBCE653F-7DD0-4830-BAD3-C06207A93853.svs	846f96a23aae57dc3edb771cd44f570a	1506890479	released
ed2a1195-cf9f-443c-8d44-9966f576608b	TCGA-BH-A0H5-01Z-00-DX1.28F24D4D-EE80-4EDA-BC30-A194E22FD61C.svs	49c8c75531ce83edf509224da6601886	1561531797	released
